the_geom,NAME,ADDRESS1,ADDRES2,CITY,ZIP
POINT (-73.99061840882582 40.75985115447559),45th Street Theater,354 West 45th Street,,New York,10036
POINT (-73.9881059525377 40.76047123447081),47th Street Theater,304 West 47th Street,,New York,10036
POINT (-73.99332384622063 40.7585366821068),Acorn Theater,410 West 42nd Street,,New York,10036
POINT (-73.9892143340222 40.75926091219353),Al Hirschfeld Theater,302 W 45th Street,,New York,10036
POINT (-73.98500141035261 40.761258614543465),Ambassador Theatre,219 West 49th Street,,New York,10019
POINT (-73.98804923812347 40.756778744642034),American Airlines Theatre,227 W 42nd Street,,New York,10036
POINT (-73.95003984288864 40.81003732389831),Apollo Theater,253 West 125th Street,,New York,10027
POINT (-73.98121028824352 40.77711991105619),Arclight Theatre,152 W 71st St,,New York,10023
POINT (-73.99234386140574 40.7293774091894),Astor Place Theatre,434 Lafayette St,Frnt,New York,10003
POINT (-74.00155441083812 40.74388769285208),Atlantic Theatre,336 W 20th St,,New York,10011
POINT (-73.98419954033942 40.76337195930883),August Wilson Theatre,245 W 52nd Street,,New York,10019
POINT (-74.00308826166064 40.732329478227996),Barrow Street Theatre,27 Barrow St,,New York,10014
POINT (-73.98099283696455 40.78056072965963),Beacon Theatre,2124 Broadway,,New York,10023
POINT (-73.98378603872446 40.75665276831218),Belasco Theatre,111 W 44th St,,New York,10036
POINT (-73.98772366095284 40.75862947194397),Bernard B. Jacobs Theatre,242 W 45th Street,,New York,10036
POINT (-73.9941751264985 40.72595304815785),Bleecker Street Theater,45 Bleecker Street,,New York,10012
POINT (-73.98708845729641 40.75837297119638),Booth Theatre,222 W 45th St,,New York,10036
POINT (-73.98762265805847 40.7582644097864),Broadhurst Theatre,235 W 44th St,,New York,10036
POINT (-73.98335054631019 40.763270202723625),Broadway Theatre,1681 Broadway,,New York,10019
POINT (-73.98698342692427 40.75995784629166),Brooks Atkinson Theatre,256 W 47th St,,New York,10036
POINT (-73.99696366480416 40.76060535386334),Castillo Theater,543 West 42nd Street,,New York,10036
POINT (-73.98888987417567 40.73516747649935),Century Center For the Performing Arts,111 E 15th St,,New York,10003
POINT (-74.00531118864133 40.73126210531373),Cherry Lane Theatre,38 Commerce Street,,New York,10014
POINT (-73.98454846724013 40.7620294570833),Circle In the Square Theatre,1633 Broadway,,New York,10019
POINT (-73.98361167544834 40.72357458833006),Connelly Theater,220 E 4th St,,New York,10009
POINT (-73.98305628861287 40.759117443725735),Cort Theatre,138 W 48th St,,New York,10036
POINT (-73.98936976592013 40.73528280097754),Daryl Roth Theatre,101 E 15th St,,New York,10003
POINT (-73.98817225074761 40.75682251401904),Duke Theatre,229 W. 42nd St,,New York,10036
POINT (-73.98289838910983 40.76380679125535),Ed Sullivan Theater,1697 Broadway,,New York,10019
POINT (-73.98615677726568 40.76010047723625),Ethel Barrymore Theatre,243 West 47th Street,,New York,10036
POINT (-73.98576310963361 40.761077557651895),Eugene O'Neill Theater,230 W 49th St,,New York,10019
POINT (-73.99363928115454 40.72667007536653),Gene Frankel Theatre Workshop,24 Bond St,,New York,10012
POINT (-73.98742769449645 40.7585059264205),Gerald Schoenfeld Theatre,236 W 45th Street,,New York,10036
POINT (-73.98515837240934 40.76242129385231),Gershwin Theatre,222 W 51st St,,New York,10019
POINT (-73.9825777128951 40.74165281725965),Gramercy Arts Theatre,138 E 27th St,,New York,10016
POINT (-74.0086229506248 40.7272929872204),Greenwich Street Theater,547 Greenwich St,,New York,10013
POINT (-73.99342333607564 40.75853551489779),Harold Clurman Theater,412 W 42nd St,,New York,10036
POINT (-73.98783930834124 40.75786370056241),Helen Hayes Theater,240 W 44th St,,New York,10036
POINT (-73.98471393486172 40.75556597677324),Henry Miller Theatre,124 W 43rd St,,New York,10036
POINT (-74.00494630981744 40.72512759155801),Here Theater,145 6th Avenue,,New York,10013
POINT (-73.98761935995667 40.75659285992755),Hilton Theatre,214 W 43rd Street,,New York,10036
POINT (-73.98734087596033 40.75894905320539),Imperial Theatre,249 W 45th St,,New York,10036
POINT (-74.00932442928037 40.73829939806719),Jane Street Theatre,113 Jane St,,New York,10014
POINT (-73.98796548938121 40.75872007426365),John Golden Theatre,252 W 45th St,,New York,10036
POINT (-73.98789903280681 40.76688567580885),Julia Miles Theater,424 W 55th St,,New York,10019
POINT (-73.9898004922213 40.72659020108496),Kraine Theater,85 E 4th Street,,New York,10003
POINT (-73.99020241681514 40.72632769963496),La Mama Experimental Theatre,74A East 4th St,,New York,10003
POINT (-73.9845837801045 40.75649368325729),Lamb's Theatre,130 W 44th St,,New York,10036
POINT (-73.9824399583143 40.75786783420392),Laura Pels Theater,111 W 46th Street,,New York,10001
POINT (-73.99342996751913 40.75845600118543),Lion Theatre,410 W 42nd St,,New York,10036
POINT (-73.98597262959564 40.76035022623389),Longacre Theatre,220 W 48th St,,New York,10036
POINT (-74.0057443463025 40.73335633167908),Lucille Lortel Theatre,121 Christopher St,,New York,10014
POINT (-73.98591873041272 40.759180958639),Lunt-Fontanne Theatre,205 W 46th St,,New York,10036
POINT (-73.98452950858237 40.75777478125931),Lyceum Theatre,149 W 45th St,,New York,10036
POINT (-73.98801246892573 40.75841266782391),Majestic Theatre,245 W 44th St,,New York,10036
POINT (-74.00120856050414 40.721987687822704),Manhattan Ensemble Theatre,55 Mercer St,,New York,10013
POINT (-73.9984046343471 40.73282809021791),Manhattan Theatre Source,177 MacDougal St,Frnt,New York,10011
POINT (-73.98589651327984 40.7585116052983),Marquis Theatre,1535 Broadway,,New York,10036
POINT (-73.98835232341061 40.71398064048623),Mazer Theatre,197 E Broadway,,New York,10002
POINT (-73.98055520583067 40.78180729924115),McGinn Cazale Theater,2162 Broadway,,New York,10024
POINT (-73.98366127503361 40.72349764533098),Metropolitan Playhouse,220 E 4th St,,New York,10009
POINT (-74.00509727556909 40.711356500121944),Michael Schimmel Center for the Arts at Pace University,3 Spruce Street,,New York,10038
POINT (-73.96346045582304 40.807586707391195),Miller Theatre at Columbia University,2960 Broadway,,New York,10027
POINT (-73.98605419441054 40.7579233360297),Minskoff Theatre,1515 Broadway,Lbby,New York,10036
POINT (-73.98714246124487 40.7588874146744),Music Box Theatre,239 W 45th St,,New York,10036
POINT (-73.98830897127951 40.755486799823906),Nederlander Theater,208 W 41st St,,New York,10036
POINT (-73.98452812145446 40.76301793173241),Neil Simon Theatre,250 W 52nd St,,New York,10019
POINT (-73.9877630076589 40.75612046652384),New Amsterdam Theater,214 W 42nd St,,New York,10036
POINT (-73.98746415730906 40.75655716099295),New Victory Theatre,209 West 42nd Street,,New York,10036
POINT (-73.98786703441492 40.76237395668448),New World Stages,340 West 50th Street,,New York,10019
POINT (-74.00658864051292 40.735621467140966),Next Stage Theater,312 West 11th Street,,New York,10014
POINT (-73.98621794461265 40.757678172894884),Nokia Theatre Times Square,1515 Broadway,,New York,10036
POINT (-74.00161141394004 40.72327983890941),Ohio Theatre,66 Wooster Street,,New York,10012
POINT (-74.00567108963654 40.720546556543276),Ontological Hysteric Theater,260 W Broadway,,New York,10013
POINT (-73.95400942533547 40.77945537812588),Orpheum Theater,1538 3rd Ave,,New York,10028
POINT (-73.98453728003108 40.728218122202),P.S.122 Performance Space,150 1st Ave,,New York,10003
POINT (-73.98447031550603 40.758889926706715),Palace Theatre,1564 Broadway,,New York,10036
POINT (-73.98579977557452 40.727559019006584),Pearl Theatre,80 Saint Marks Pl,,New York,10003
POINT (-73.99228995399157 40.74736717975171),People's Improv Theater,154 W 29th St,,New York,10001
POINT (-73.9922209999171 40.729488634445005),Playwrights Horizons Theater School,440 Lafayette St,,New York,10003
POINT (-73.84455209627207 40.74397928445518),Queens Theatre in the Park,Flushing Meadows Corona Park,,Queens,11352
POINT (-74.00203650279532 40.73617406719814),Rattlestick Theater,224 Waverly Pl,,New York,10014
POINT (-73.9867417603334 40.75903833018236),Richard Rodgers Theatre,226 W 46th Street,,New York,10036
POINT (-73.98674510476694 40.76037502090257),Samuel J. Friedman Theatre (formerly the Biltmore),261 W 47th St,,New York,10036
POINT (-73.98973789241076 40.758239914427065),Second Stage Theater,307 W 43rd St,,New York,10036
POINT (-73.98723930549964 40.758137611181176),Shubert Theatre,225 W 44th St,Lbby,New York,10036
POINT (-73.98442891934225 40.76141062139737),Snapple Theater Center,1627 Broadway,,New York,10019
POINT (-74.00436193722095 40.72653567529159),SoHo Playhouse,15 Vandam St,,New York,10013
POINT (-74.00472935248527 40.718230021804324),SoHo Repertory Theatre,86 Franklin St,,New York,10013
POINT (-73.98816053699704 40.75799822657315),St. James Theatre,246 W 44th St,Lbby,New York,10036
POINT (-73.98377095865544 40.76435408364673),Studio 54 Theatre,254 W 54th Street,,New York,10019
POINT (-73.97037578132182 40.77996630281343),Swedish Cottage Marionette Theater,West Side at 79th Street,,New York,10025
POINT (-73.99027790676004 40.71854810051081),Tenement Theatre,97 Orchard Street,,New York,10002
POINT (-73.99374147365816 40.75868460666427),The Beckett Theatre,410 W 42 St,9 Ave,New York,10036
POINT (-74.00902180098625 40.73645809825258),The Cherry Pit,155 Bank St,,New York,10014
POINT (-73.99391778593146 40.75855311297125),The Little Shubert theatre,422 West 42nd Street,,New York,10036
POINT (-73.99177371983643 40.72892340209371),The Public Theater,425 Lafayette St,,New York,10003
POINT (-73.94482123207857 40.74890599748924),The Secret Theatre,44-02 23rd St.,,Long Island City,11101
POINT (-73.9973874129749 40.747653594271554),The Upright Citizens Brigade Theatre,307 W 26th Street,,New York,10001
POINT (-73.98424386556361 40.774102169778494),The Walter Reade Theater at Lincoln Center,70 Lincoln Center Plaza,,New York,10023
POINT (-73.99403364237084 40.75467479348333),The Zipper Theater,336 W 37th St,,New York,10018
POINT (-73.98498034698733 40.72869278070282),Theater For The New City,155 1st Avenue,,New York,10003
POINT (-73.99157114995049 40.76156669374937),Theatre @ St. Clement's,423 West 46th Street,,New York,10036
POINT (-73.98575178908337 40.72762096989025),Theatre 80 St Marks,80 Saint Marks Pl,,New York,10003
POINT (-73.99389624316413 40.75872836920871),Theatre Row,410 W 42nd Street,,New York,10036
POINT (-73.98496483499095 40.72728974704827),Under St. Marks,94 St. Marks Place,,New York,10009
POINT (-73.98874896687076 40.73624066126629),Union Square Theater,100 E 17th St,,New York,10003
POINT (-74.00022350602671 40.728455101424615),Village Theater,158 Bleecker St,,New York,10012
POINT (-73.98918917658457 40.73469974282689),Vineyard Theatre,108 E 15th St,,New York,10003
POINT (-74.00351370204922 40.71931150109748),Walkerspace Theater,46 Walker Street,,New York,10013
POINT (-73.99339518921583 40.75049725404502),Wamu Theater (formerly Theater At Madison Square Garden),4 Penn Plaza,,New York,10001
POINT (-73.99255324047746 40.759527416110735),Westside Theater,407 W 43rd St,,New York,10036
POINT (-74.0088925664614 40.73239903762212),Wings Theatre,154 Christopher St,Bsmt,New York,10014
POINT (-73.98348163057112 40.761524646280805),Winter Garden Theatre,1634 Broadway,,New York,10019
POINT (-73.96997885915609 40.758357229201536),York Theatre,619 Lexington Ave,,New York,10022
POINT (-73.9688248050205 40.78017563530363),Delacorte Theater,Central Park - Mid-Park at 80th Street,SW corner of the Great Lawn,New York,0